job_id,profile,screening_action,reading_priority,canonical_locator,review_scope,rationale
allocation_salience-005,allocation_salience,retain-background,background,https://doi.org/10.1037/0033-2909.131.4.510,abstract-and-identity,"Useful LC-NE/P3 salience bridge but not a direct memory-allocation test."
allocation_salience-013,allocation_salience,retain,priority,https://doi.org/10.3389/fnmol.2024.1342622,abstract-and-identity,"Direct review of LC neuromodulation and contextual engram updating."
allocation_salience-015,allocation_salience,retain-background,background,https://doi.org/10.1038/s41380-023-02137-5,abstract-and-identity,"Strong engram lifecycle review; broad rather than a salience experiment."
allocation_salience-018,allocation_salience,retain,priority,https://doi.org/10.1523/jneurosci.2786-20.2021,abstract-and-identity,"Empirical link among learning duration, engram size, precision, and overgeneralization."
allocation_salience-020,allocation_salience,retain,priority,https://doi.org/10.3389/fnbeh.2012.00014,abstract-and-identity,"Direct evidence that emotional arousal can bias which memory system controls behavior."
allocation_salience-022,allocation_salience,retain,priority,https://doi.org/10.1101/lm.1996811,abstract-and-identity,"Human behavioral constraints on reward-associated long-term memory enhancement."
allocation_salience-025,allocation_salience,retain,priority,https://doi.org/10.1073/pnas.1008638107,abstract-and-identity,"Direct novelty/reward persistence mechanism through synaptic tagging and capture."
cls_replay-001,cls_replay,retain-background,background,https://doi.org/10.1016/j.neunet.2019.01.012,abstract-and-identity,"Foundational continual-learning review connecting replay and biological mechanisms."
cls_replay-002,cls_replay,retain-background,background,https://doi.org/10.1152/physrev.00032.2012,abstract-and-identity,"Broad consolidation review; valuable for offline processing but not an algorithm test."
cls_replay-003,cls_replay,retain,priority,https://doi.org/10.1002/hipo.22488,abstract-and-identity,"Compressed replay is linked to consolidation, planning, and combination of old and new information."
cls_replay-008,cls_replay,retain,priority,https://doi.org/10.1523/jneurosci.19-21-09497.1999,abstract-and-identity,"Primary animal evidence for replay and temporal compression of acquired sequences."
cls_replay-013,cls_replay,retain,priority,https://doi.org/10.1007/s10462-024-11062-0,abstract-and-identity,"Direct taxonomy of experience-replay mechanisms and open problems."
cls_replay-015,cls_replay,retain,priority,https://doi.org/10.1109/tmm.2024.3397048,abstract-and-identity,"Tests task-relationship and sample-importance control in replay selection."
cls_replay-017,cls_replay,defer,deferred,https://doi.org/10.1109/cvprw63382.2024.00422,abstract-and-identity,"Weight interpolation is an adjunct to replay rather than a memory-selection mechanism."
cls_replay-020,cls_replay,retain,priority,https://doi.org/10.1016/j.neuron.2017.09.035,abstract-and-identity,"Replay content switches with task state and predicts later decisions."
cls_replay-023,cls_replay,defer,deferred,https://doi.org/10.1109/tpami.2022.3178874,abstract-and-identity,"Domain-specific BIQA continual learning; the proposed method is not primarily replay-based."
durable_storage-011,durable_storage,retain-challenge-only,challenge,https://arxiv.org/abs/2603.01384,abstract-and-identity,"Potentially useful adversarial thesis about persistence boundaries, but it is a recent unreviewed preprint with unusually broad impossibility and impact claims."
durable_storage-019,durable_storage,retain,priority,https://hdl.handle.net/1721.1/107325,abstract-and-identity,"FSCQ crash-safety verification is directly relevant to durable append-only storage."
durable_storage-023,durable_storage,defer,deferred,https://doi.org/10.1145/3323091,abstract-and-identity,"Specialized NVMM recomputation trade-off; distant from ordinary local-disk research memory."
durable_storage-024,durable_storage,defer,deferred,https://doi.org/10.1145/3297858.3304077,abstract-and-identity,"Persistent-memory performance study, not primarily a durability or provenance mechanism."
prospective_metamemory-004,prospective_metamemory,retain-background,background,https://doi.org/10.1093/oxfordhb/9780199336746.001.0001,abstract-and-identity,"Reference handbook; relevant chapters must be screened separately rather than treating the whole book as one claim source."
prospective_metamemory-010,prospective_metamemory,retain-background,background,https://doi.org/10.1057/s41599-026-06621-5,abstract-and-identity,"Recent broad review useful for terminology and snowballing, not primary evidence."
prospective_metamemory-015,prospective_metamemory,defer,deferred,https://doi.org/10.1038/s41598-025-18631-5,abstract-and-identity,"Interesting neural correlate but small correlational sample and limited architectural transfer."
prospective_metamemory-018,prospective_metamemory,canonicalize-published,priority,https://doi.org/10.1080/09658211.2021.1991380,abstract-and-identity,"Direct offloading experiment; replace OSF preprint locator with the published Memory article."
prospective_metamemory-019,prospective_metamemory,retain-background,background,https://doi.org/10.3389/fpsyg.2016.00218,abstract-and-identity,"Supports calibration research but uses prospective judgments rather than delayed intentions."
prospective_metamemory-020,prospective_metamemory,canonicalize-published,priority,https://doi.org/10.1037/pag0000751,abstract-and-identity,"Direct reminder-cost calibration experiment; replace OSF preprint with published article."
prospective_metamemory-021,prospective_metamemory,retain-background,background,https://doi.org/10.1111/cdep.12532,abstract-and-identity,"Developmental review exposes offloading bias and selectivity but is not an adult agent analogue."
prospective_metamemory-023,prospective_metamemory,retain-background,background,https://doi.org/10.1177/2398212818810591,abstract-and-identity,"Useful neural-control map; indirect for operational retrieval policies."
prospective_metamemory-025,prospective_metamemory,retain,priority,https://doi.org/10.1186/s41235-023-00468-z,abstract-and-identity,"Ecologically grounded comparison of partial and complete offloading with consequence severity."
semantic_compression-007,semantic_compression,retain-canonical,priority,https://doi.org/10.1162/neco_a_01520,abstract-and-identity,"Published canonical version of the semantic-completion model."
semantic_compression-012,semantic_compression,retain-preprint,priority,https://arxiv.org/abs/2605.10870,abstract-and-identity,"Direct decision-centric rate-distortion agent-memory proposal; recent preprint requiring benchmark reproduction."
semantic_compression-013,semantic_compression,retain-preprint,priority,https://arxiv.org/abs/2607.08032,abstract-and-identity,"Direct cross-layer compaction survey and benchmark proposal; recent preprint requiring claim audit."
semantic_compression-017,semantic_compression,retain-preprint,priority,https://doi.org/10.31234/osf.io/emky9,abstract-and-identity,"Direct episodic/semantic adaptive-compression perspective; not empirical evidence."
semantic_compression-018,semantic_compression,defer,deferred,https://doi.org/10.48550/arxiv.2405.05294,abstract-and-identity,"Formal program-induction bridge, but distant from durable agent-memory retrieval."
semantic_compression-021,semantic_compression,merge-review-artifact,remove,https://doi.org/10.7554/eLife.79450,abstract-and-identity,"Peer-review decision letter is not a separate scientific work; merge with the eLife article."
semantic_compression-022,semantic_compression,canonicalize-published,priority,https://doi.org/10.7554/eLife.79450,abstract-and-identity,"Replace bioRxiv locator with the peer-reviewed eLife article."
semantic_compression-025,semantic_compression,merge-version-duplicate,remove,https://doi.org/10.1162/neco_a_01520,abstract-and-identity,"arXiv version duplicates semantic_compression-007; retain the published article."
